source_path,model,fourier_mode,acc,precision,recall,f1,auc,specificity,in_channels,image_size,epochs_requested,epochs_run,best_val_auc,threshold,threshold_strategy,pretrained,augment,use_weighted_sampler,use_class_weights,label_smoothing,lr_classifier,lr_backbone,unfrozen_blocks,warmup_epochs
mobilenet/mobilenetv3_large/complex,mobilenetv3_large,complex,0.577,0.577,1.0,0.7318,0.5115,0.0,2,224,2,2,0.4804,0.6619,accuracy,True,True,True,False,0.0,0.001,3e-05,4,1
mobilenet/mobilenetv3_large/concat,mobilenetv3_large,concat,0.572,0.5767,0.9705,0.7235,0.6045,0.0284,4,224,2,2,0.6371,0.0246,accuracy,True,True,True,False,0.0,0.001,3e-05,4,1
mobilenet/mobilenetv3_large/concat_frequency,mobilenetv3_large,concat_frequency,0.561,0.5757,0.9099,0.7052,0.5254,0.0851,6,224,2,2,0.6152,0.3528,accuracy,True,True,True,False,0.0,0.001,3e-05,4,1
mobilenet/mobilenetv3_large/frequency_3,mobilenetv3_large,frequency_3,0.562,0.5758,0.9151,0.7068,0.5272,0.0804,1,224,2,2,0.5848,0.2458,accuracy,True,True,True,False,0.0,0.001,3e-05,4,1
mobilenet/mobilenetv3_large/magnitude,mobilenetv3_large,magnitude,0.6729,0.6843,0.7976,0.7366,0.7413,0.5053,1,224,50,11,0.7995,0.3511,accuracy,True,True,True,False,0.0,0.001,3e-05,4,1
mobilenet/mobilenetv3_large/none,mobilenetv3_large,none,0.764,0.9045,0.6578,0.7617,0.8704,0.9066,3,224,50,26,0.9769,0.7517,accuracy,True,True,True,False,0.0,0.001,3e-05,4,1
mobilenet/mobilenetv3_large/phase,mobilenetv3_large,phase,0.6098,0.6653,0.643,0.654,0.6438,0.5651,1,224,50,11,0.7174,0.5856,accuracy,True,True,True,False,0.0,0.001,3e-05,4,1
resnet/complex,resnet18,complex,0.6272,0.6481,0.7659,0.7021,0.6804,0.4407,2,224,50,,0.7362,0.3509,accuracy,True,True,True,False,,,,,
resnet/concat,resnet18,concat,0.7615,0.8722,0.6844,0.767,0.8637,0.8652,4,224,50,,0.9721,0.5775,accuracy,True,True,True,False,,,,,
resnet/concat_frequency,resnet18,concat_frequency,0.707,0.7806,0.6803,0.727,0.7856,0.7429,6,224,50,,0.8958,0.6779,accuracy,True,True,True,False,,,,,
resnet/frequency_3,resnet18,frequency_3,0.6854,0.713,0.7555,0.7336,0.7548,0.5911,1,224,50,,0.8328,0.4616,accuracy,True,True,True,False,,,,,
resnet/magnitude,resnet18,magnitude,0.6896,0.7056,0.7873,0.7442,0.7649,0.5584,1,224,50,,0.8372,0.3667,accuracy,True,True,True,False,,,,,
resnet/phase,resnet18,phase,0.5898,0.6453,0.6323,0.6387,0.6206,0.5326,1,224,50,,0.7304,0.3883,accuracy,True,True,True,False,,,,,
resnet,resnet18,none,0.7702,0.9053,0.6692,0.7696,0.8833,0.9059,3,224,50,,0.9712,0.3524,accuracy,True,True,True,False,,,,,
vit/complex,vit,complex,0.426,1.0,0.0052,0.0103,0.5411,1.0,2,224,50,,0.5411,,,google/vit-base-patch16-224,,,,,,,,
vit/concat,vit,concat,0.498,0.6027,0.3813,0.4671,0.5167,0.6572,4,224,50,,0.5652,,,google/vit-base-patch16-224,,,,,,,,
vit/concat_frequency,vit,concat_frequency,0.442,0.7879,0.0451,0.0852,0.613,0.9835,6,224,50,,0.6084,,,google/vit-base-patch16-224,,,,,,,,
vit/frequency_3,vit,frequency_3,0.609,0.6775,0.6153,0.6449,0.6484,0.6005,1,224,50,,0.6806,,,google/vit-base-patch16-224,,,,,,,,
vit/magnitude,vit,magnitude,0.61,0.653,0.6915,0.6717,0.6349,0.4988,1,224,50,,0.6343,,,google/vit-base-patch16-224,,,,,,,,
vit/none,vit,none,0.642,0.7212,0.6187,0.666,0.6918,0.6738,3,224,50,,0.7279,,,google/vit-base-patch16-224,,,,,,,,
vit/phase,vit,phase,0.59,0.6256,0.721,0.6699,0.5847,0.4113,1,224,50,,0.5828,,,google/vit-base-patch16-224,,,,,,,,
vit,vit,none,0.6919,0.81,0.6046,0.6924,0.7825,0.8093,3,224,20,,,,,,,,,,,,6,
xception/complex,xception,complex,0.577,0.577,1.0,0.7318,0.4844,0.0,2,224,20,,,,,,,,,,,,3,
xception/concat,xception,concat,0.577,0.577,1.0,0.7318,0.5205,0.0,4,224,2,,,,,,,,,,,,3,
xception/magnitude,xception,magnitude,0.5701,0.5737,0.9746,0.7222,0.6192,0.0262,1,224,1,,,,,,,,,,,,3,
xception/none,xception,none,0.654,0.6529,0.8469,0.7373,0.7398,0.3946,3,224,20,,,,,,,,,,,,3,
xception/phase,xception,phase,0.577,0.5784,0.9844,0.7287,0.4922,0.0213,1,224,20,,,,,,,,,,,,3,
xception,xception,none,0.7516,0.8316,0.7109,0.7665,0.8424,0.8064,3,224,20,,,,,,,,,,,,3,
